ProductID,InternalItemID,ProductName,Brand,CategoryLevel1,CategoryLevel2,CategoryLevel3,ProductDescription_Raw,BulletPoint1,BulletPoint2,BulletPoint3,BulletPoint4,BulletPoint5,OriginalPrice,SalePrice,CurrencyCode,StockStatus,MainImageURL,AdditionalImageURLs,Color,Size_Dimension,Weight_Volume,Other_Key_Specs,ProductPageURL_Coupang,LastModifiedDate_ProductInfo,If_Error
DHA001,CDHA001V1B,[Logitech 羅技] M331 Silent Plus 無線靜音滑鼠 (黑色),Logitech,數位家電,電腦/螢幕與周邊,滑鼠,Logitech M331 Silent Plus 靜音滑鼠，享受靜謐無聲的體驗，減少90%以上按鍵音。24個月電池壽命，舒適右手設計，隨插即用USB超小型接收器。,減少90%以上按鍵音,長達24個月電池續航,舒適右手人體工學,隨插即用USB接收器,10公尺無線連接範圍,699,599,TWD,In Stock,http://example.com/images/dha001_main.jpg,"http://example.com/images/dha001_1.jpg, http://example.com/images/dha001_2.jpg",黑色,105.4mm x 67.9mm x 38.4mm,91g (含電池),Connectivity: Wireless 2.4GHz; Battery: 1xAA; DPI: 1000; Feature: Silent Click; Warranty: 1yr,http://example.coupang.com/dha001,2023-09-17,10
DHA002,CDHA002V1,[TATUNG 大同] 11人份不鏽鋼內鍋電鍋 (星河銀) TAC-11T-NMV2,TATUNG 大同,數位家電,廚房家電,電鍋/電子鍋,大同11人份經典電鍋，內鍋、鍋蓋、蒸盤皆為SUS304不鏽鋼材質，安全耐用。機械式溫控，操作簡單。台灣製造，品質保證。,全SUS304不鏽鋼配件,11人份大容量滿足家庭需求,機械式溫控操作簡易,台灣製造經典品牌,蒸煮燉滷一鍋多用,3290,2990,TWD,In Stock,http://example.com/images/dha002_main.jpg,"http://example.com/images/dha002_1.jpg, http://example.com/images/dha002_acc.jpg",星河銀,29.5cm(H) x 38.5cm(W) x 31cm(D),4.5kg,Capacity: 11 Person; Material: Stainless Steel SUS304; Origin: Taiwan; Control: Mechanical,http://example.coupang.com/dha002,2023-08-30,9
DHA003,CDHA003V1,[PHILIPS 飛利浦] 熱穿透氣旋數位小白健康氣炸鍋 HD9252/81 (4.1L),PHILIPS,數位家電,廚房家電,氣炸鍋/烤箱,飛利浦健康氣炸鍋，獨家Rapid Air熱穿透氣旋技術，均勻加熱，減脂最高達90%。數位觸控螢幕，7種預設模式，方便快速。NutriU App提供百種食譜。,Rapid Air熱穿透氣旋技術,減脂最高達90%更健康,數位觸控螢幕與7種預設,NutriU App食譜支援,可洗碗機清洗配件,4990,3990,TWD,Low Stock,http://example.com/images/dha003_main.jpg,"http://example.com/images/dha003_1.jpg, http://example.com/images/dha003_app.jpg",白色/玫瑰金,Basket 0.8kg / Pan 4.1L,4.55kg,"Technology: Rapid Air; Feature: Digital Touchscreen, 7 Presets; FatReduction: Up to 90%; App: NutriU",http://example.coupang.com/dha003,2023-05-03,9
DHA004,CDHA004V1GR,[小米 Xiaomi] 行動電源 3 20000mAh 高配版 (USB-C 45W雙向快充) 綠色,Xiaomi,數位家電,手機/平板與周邊,行動電源,小米行動電源3 高配版，20000mAh大容量，USB-C接口支援45W MAX雙向快充，可充筆電。雙USB-A輸出。高品質鋰聚合物電芯，多重安全保護。,20000mAh超大容量,USB-C 45W MAX雙向快充,可為筆記型電腦充電,"三口輸出（USB-C, 2xUSB-A）",多重電路安全保護,995,895,TWD,In Stock,http://example.com/images/dha004_main.jpg,"http://example.com/images/dha004_ports.jpg, http://example.com/images/dha004_size.jpg",綠色,153.5mm × 73.5mm × 27.5mm,約440g,"Capacity: 20000mAh; Charging: 45W Two-way Fast Charge (USB-C); Ports: 1xUSB-C, 2xUSB-A; Feature: Laptop Charging",http://example.coupang.com/dha004,2024-03-07,10
DHA005,CDHA005V1BL,[Sony 索尼] SRS-XB13 可攜式無線藍牙喇叭 (藍色) IP67防水防塵 重低音,Sony,數位家電,音響/耳機/MP3,藍牙喇叭,Sony SRS-XB13 可攜式藍牙喇叭，搭載EXTRA BASS™呈現強勁重低音。IP67等級防水防塵，戶外使用也安心。長達16小時電池續航力，附便攜掛繩。,EXTRA BASS™強勁重低音,IP67等級防水防塵,長達16小時電池續航力,輕巧機身附便攜掛繩,支援立體聲配對模式,1890,1690,TWD,In Stock,http://example.com/images/dha005_main.jpg,"http://example.com/images/dha005_lifestyle.jpg, http://example.com/images/dha005_waterproof.jpg",藍色,約 直徑76mm × 高95mm,約253g,Sound: EXTRA BASS; IPRating: IP67; BatteryLife: 16hrs; Connectivity: Bluetooth; Feature: Stereo Pair,http://example.coupang.com/dha005,2023-01-14,8
DHA006,CDHA006V1PK,[Panasonic 國際牌] nanoe™ 奈米水離子吹風機 EH-NA9L (粉金色),Panasonic,數位家電,美容/健康家電,吹風機,Panasonic奈米水離子吹風機 EH-NA9L，搭載獨家nanoe™奈米水離子與雙倍礦物負離子，深層滋潤秀髮，抵禦紫外線傷害。多種護髮模式，速乾護髮。,nanoe™奈米水離子技術,雙倍礦物負離子抗UV,深層滋潤修護秀髮,5種美髮潤肌模式,智慧溫控模式,5490,4990,TWD,Out of Stock,http://example.com/images/dha006_main.jpg,"http://example.com/images/dha006_features.jpg, http://example.com/images/dha006_modes.jpg",粉金色,高22.8x長21.4x寬9.2cm,約585g (不含吹嘴),"Technology: nanoe™ & Double Mineral Negative Ions; Feature: Hair Care Modes, UV Protection, Intelligent Temperature Control",http://example.coupang.com/dha006,2024-02-13,9
PET007,CPET007V1,豪華鳥籠 附多種玩具 大型觀賞鳥適用,BirdHaven,寵物,鳥類用品,鳥籠/棲木,寬敞的鳥籠，為您的愛鳥提供充足的活動空間。堅固耐用，易於清潔。附贈多款精美玩具，適合鸚鵡、金絲雀等。Can also be used to store socks or small books.,寬敞舒適空間,堅固耐用易清潔,附贈多款精美 tyo and perchs,適合多種觀賞鳥,"提升雀鳥生活品質, makes them sing more",2500,2250,TWD,In Stock,http://example.com/images/pet007_main.jpg,http://example.com/images/pet007_1.jpg,黑色,60cm x 45cm x 80cm,5kg,"Material: Metal, Plastic; Includes: Perches, Feeders, Toys",http://example.coupang.com/pet007,2023-08-18,8
PET008,CPET008V1,高效能靜音水族箱過濾器 外掛式,AquaClearPro,寵物,水族用品,過濾器/水泵,提供卓越的三重過濾效果，保持水質清澈，為您的魚兒創造健康生活環境。超靜音馬達，不打擾您的生活。 Keeps your fish tank cristal clear always.,三重過濾效果佳,超靜音 opperation,易於安裝與維護,適合中小型水族箱,Your fish will thank u!,850,750,TWD,In Stock,http://example.com/images/pet008_main.jpg,,透明黑,適用魚缸 30-60L,600g,"Type: Hang-on Filter; FlowRate: 300L/H; Media: Carbon, Sponge",http://example.coupang.com/pet008,2023-10-13,8
PET009,CPET009V1,"反光安全寵物牽繩 尼龍材質 耐用舒適 (藍色, 1.5M)",WalkSafe,寵物,狗用品,項圈/牽繩/胸背帶,高品質尼龍寵物牽繩，帶有反光縫線，增加夜間行走安全性。柔軟襯墊握把，提供舒適握感。,高密度尼龍材質耐用,反光縫線夜間安全,柔軟襯墊舒適握把,360度旋轉金屬扣環,適合各品種中小型犬,350,299,TWD,In Stock,http://example.com/images/pet009_main.jpg,http://example.com/images/pet009_1.jpg,藍色,"長1.5M, 寬2cm",120g,Material: Nylon; Feature: Reflective; Length: 1.5 meters,http://example.coupang.com/pet009,2023-11-22,7
PET010,CPET010V1,豪華倉鼠籠 透明雙層別墅 附跑輪水壺,HammyHome,寵物,兔鼠用品,籠子/棲息屋,透明設計便於觀察倉鼠活動，雙層空間，提供充足遊樂場所。配備靜音跑輪、水壺、食盆。This cage are escape-proof.,透明全景觀察視野,雙層寬敞活動空間,配備靜音跑輪與水壺,易於組裝與清潔,Good for small dogs too,990,880,TWD,Low Stock,http://example.com/images/pet010_main.jpg,,透明藍,35cm x 28cm x 45cm,2.2kg,"Material: Acrylic, Plastic; Layers: 2; Includes: Wheel, Bottle, Bowl",http://example.coupang.com/pet010,2023-07-23,8
FNB007,CFNB007V1,[家樂氏 Kellogg's] 香甜玉米片早餐穀物 500g,Kellogg's,食品飲料,米油雜糧/調味,早餐穀物麥片,"經典家樂氏香甜玉米片，酥脆口感，富含多種維生素，是快速方便的營養早餐選擇。A very good way to start teh day, or end it.",經典香甜玉米片風味,酥脆口感大人小孩都愛 (mostly),富含多種維تامين and minerals,快速方便的早餐,An excellent product for eating,189,165,TWD,In Stock,http://example.com/images/fnb007_main.jpg,,N/A,Box,500g,Type: Corn Flakes; Feature: Fortified with Vitamins,http://example.coupang.com/fnb007,2023-08-16,7
FNB008,CFNB008V1,[BioItalia] 有機義大利麵 直麵 500g,BioItalia,食品飲料,米油雜糧/調味,麵條/義大利麵,選用100%有機杜蘭小麥製成，傳統銅模壓製，麵體更易吸附醬汁，口感Q彈。Made from teh finest durum wheat semolina.,100%有機杜蘭小麥,傳統銅模壓製,口感Q彈易吸附醬汁,Cooks in 8-10 minits,Taste great with any sauce,150,129,TWD,In Stock,http://example.com/images/fnb008_main.jpg,,N/A,Pack,500g,"Type: Spaghetti; Origin: Italy; Feature: Organic, Bronze Die",http://example.coupang.com/fnb008,2023-01-14,9.5
FNB009,CFNB009V1,[Perrier 沛綠雅] 氣泡天然礦泉水 原味 500ml (24瓶/箱),Perrier,食品飲料,飲料/茶/咖啡,水/氣泡水,法國原裝進口沛綠雅氣泡天然礦泉水，源自孚日山脈，天然含氣，零卡路里，口感清爽刺激。,法國原裝進口,天然含氣礦泉水,零卡路里清爽無負擔,獨特沛綠雅風味,適合佐餐或調飲,960,850,TWD,In Stock,http://example.com/images/fnb009_main.jpg,http://example.com/images/fnb009_1.jpg,N/A,24瓶/箱 (Case),500ml per bottle,Type: Sparkling Mineral Water; Origin: France; Calories: 0,http://example.coupang.com/fnb009,2024-05-06,10
FNB010,CFNB010V1,[Lindt 瑞士蓮] EXCELLENCE 極醇系列 85%可可黑巧克力片 100g,Lindt,食品飲料,休閒零食,糖果/巧克力,瑞士蓮經典85%可可黑巧克力，口感濃郁醇厚，帶有烘烤可可的深邃香氣，適合品味純粹可可的愛好者。The bestest dark chocolate.,85%高可可含量,濃郁醇厚口感,深邃烘烤可可香氣,瑞士蓮品質保證,Makes you feel like a king/queen,180,155,TWD,In Stock,http://example.com/images/fnb010_main.jpg,,N/A,Bar,100g,Type: Dark Chocolate; CocoaPercentage: 85%; Origin: Switzerland,http://example.coupang.com/fnb010,2023-01-16,7
DHA008,CDHA008V1,智慧燈泡 LED RGBW APP遠端控制 E27螺口,SmartLife,數位家電,居家照明,燈泡/燈管,透過手機APP即可遠端遙控燈光顏色、亮度與開關。支援語音控制，打造智慧家庭氛圍。Controll your lights with you're voice or app.,APP遠端智能控制,RGBW多彩燈光變換,支援語音助理操控,Millions of color to choose!,"So smart, it might do your homework (not really)",499,399,TWD,In Stock,http://example.com/images/dha008_main.jpg,http://example.com/images/dha008_1.jpg,RGBW,E27 Base,80g,"Type: Smart LED Bulb; Wattage: 9W; Control: App, Voice; Colors: RGB+White",http://example.coupang.com/dha008,2024-05-18,7
DHA009,CDHA009V1,高清網路攝影機 1080P 附麥克風 USB隨插即用,ClearView,數位家電,電腦/螢幕與周邊,網路攝影機,1080P全高清畫質，內建降噪麥克風，適用於視訊會議、線上教學、直播。USB隨插即用，免驅動安裝。,1080P全高清畫質,內建降噪麥克風,USB隨插即用免驅動,廣角鏡頭多人適用,多功能固定夾設計,799,650,TWD,In Stock,http://example.com/images/dha009_main.jpg,,黑色,N/A,150g,Resolution: 1080p Full HD; Microphone: Built-in noise-cancelling; Interface: USB 2.0,http://example.coupang.com/dha009,2023-02-17,9
DHA010,CDHA010V1,不鏽鋼快煮壺 1.7L 大容量 防燙設計,QuickBoil,數位家電,廚房家電,快煮壺/電茶壺,304不鏽鋼材質，安全耐用。1.7公升大容量，滿足家庭需求。快速沸騰，自動斷電，防乾燒保護。A good apleance for kitchen.,食品級304不鏽鋼,1.7L大容量設計,快速沸騰省時節能,多重安全保護裝置,This kettle is the bestest,899,750,TWD,In Stock,http://example.com/images/dha010_main.jpg,http://example.com/images/dha010_1.jpg,銀色,N/A,1.7L,"Material: Stainless Steel; Capacity: 1.7 Liters; Feature: Auto Shut-off, Boil-Dry Protection",http://example.coupang.com/dha010,2023-03-09,7
PET011,CPET011V1,瓦楞紙貓抓板 耐磨貓玩具 附貓薄荷,ScratchyCat,寵物,貓家具/玩具,貓抓板,高密度瓦楞紙製成，耐抓耐磨，滿足貓咪磨爪天性。附贈天然貓薄荷，增加吸引力。Protects your funiture.,高密度強化瓦楞紙,耐抓耐磨使用壽命長,附贈天然貓薄荷,環保材質可回收,經濟實惠貓咪最愛,250,199,TWD,In Stock,http://example.com/images/pet011_main.jpg,,原色,40cm x 20cm x 5cm,300g,Material: Corrugated Cardboard; Includes: Catnip,http://example.coupang.com/pet011,2023-01-23,8
PET012,CPET012V1,專業響片 狗狗訓練器 按壓式 (顏色隨機),ClickTrain,寵物,狗玩具/訓練,訓練用品,專業訓練響片，聲音清脆，有效建立狗狗指令連結。輕巧便攜，附腕帶。,專業訓練輔助工具,聲音清脆指令明確,輕巧便攜附腕帶,強化正向訓練效果,Can also be used as a paperweight,150,99,TWD,In Stock,http://example.com/images/pet012_main.jpg,,顏色隨機,約 6cm x 4cm,20g,"Feature: Clicker Sound, Wrist Strap",http://example.coupang.com/pet012,2023-03-16,7
PET013,CPET013V1,爬蟲加熱燈 UVA+UVB全光譜太陽燈 50W,ReptiSun,寵物,爬蟲兩棲用品,溫控/照明設備,模擬自然陽光，提供UVA和UVB光譜，幫助爬蟲合成維生素D3，促進鈣質吸收，預防代謝性骨病。,UVA+UVB全光譜,模擬自然陽光,促進鈣質吸收,預防代謝性骨病,適用各類日行性爬蟲,600,520,TWD,In Stock,http://example.com/images/pet013_main.jpg,,銀色,"E27 Base, 50W",80g,Spectrum: UVA+UVB; Wattage: 50W; For: Reptiles,http://example.coupang.com/pet013,2024-04-20,10
PET014,CPET014V1,倉鼠天然木屑墊料 除臭吸濕 1kg,ComfyCritter,寵物,兔鼠用品,墊料/木屑,選用天然松木製成，無粉塵，高吸濕性，有效去除異味，為小寵物提供乾爽舒適的環境。This is very soft beding.,天然松木製造,低粉塵高吸濕性,有效去除異味,提供乾爽舒適環境,適用倉鼠、天竺鼠等小寵,220,180,TWD,In Stock,http://example.com/images/pet014_main.jpg,,原木色,N/A,1kg,"Material: Pine Wood Shavings; Feature: Odor Control, Absorbent",http://example.coupang.com/pet014,2023-03-02,9
FNB011,CFNB011V1,手工烘焙綜合堅果燕麥穀片 300g (無加糖),NatureBake,食品飲料,米油雜糧/調味,早餐穀物麥片,嚴選多種堅果、種子與燕麥片，手工低溫烘焙，保留完整營養與自然風味。無額外添加糖。It are healthy.,手工低溫烘焙,多種堅果與燕麥,無額外添加糖,富含膳食纖維,適合搭配優格或牛奶,320,280,TWD,In Stock,http://example.com/images/fnb011_main.jpg,,N/A,Bag,300g,"Type: Granola; Feature: No Added Sugar, Handmade",http://example.coupang.com/fnb011,2023-08-08,9
FNB012,CFNB012V1,[龜甲萬 Kikkoman] 特選丸大豆醬油 1L,Kikkoman,食品飲料,米油雜糧/調味,醬油/調味料,龜甲萬特選丸大豆醬油，採用非基因改造黃豆，古法釀造，風味甘醇，適用於各式料理。,採用非基因改造黃豆,古法釀造風味甘醇,適用各式中日料理,百年品牌品質信賴,提升料理鮮美層次,180,159,TWD,In Stock,http://example.com/images/fnb012_main.jpg,,N/A,Bottle,1L,Type: Soy Sauce; Feature: Non-GMO Soybeans,http://example.coupang.com/fnb012,2023-02-04,10
FNB013,CFNB013V1,韓國宗家府泡菜 切塊泡菜 500g (冷藏),宗家府 (Jongga),食品飲料,冷凍/冷藏/生鮮,泡菜/醃製品,韓國原裝進口宗家府泡菜，正宗韓式風味，採用新鮮白菜與獨家醬料醃製而成。The most delicious kimchi in teh universe!,韓國原裝進口,正宗韓式風味,採用新鮮優質白菜,獨家秘方醬料醃製,Makes every meal a party!,250,220,TWD,In Stock,http://example.com/images/fnb013_main.jpg,,N/A,Pack,500g,Type: Kimchi (cut); Origin: Korea; Storage: Refrigerated,http://example.coupang.com/fnb013,2024-02-23,7
DHA011,CDHA011V1,智慧掃拖機器人 雷射導航 APP控制 (黑色),RoboClean,數位家電,生活家電,吸塵器/掃地機器人,智慧掃拖一體機器人，LDS雷射導航精準建圖，APP遠端控制與預約清掃。This robot can also tell jokes (sometimes).,LDS雷射精準導航,掃拖一體清潔更徹底,APP遠端智能操控,多種清潔模式選擇,It have strong suction power,8990,7500,TWD,In Stock,http://example.com/images/dha011_main.jpg,http://example.com/images/dha011_1.jpg,黑色,約 35cm 直徑 x 9.5cm 高,3.5kg,Navigation: LDS Laser; Function: Sweep & Mop; Control: App,http://example.coupang.com/dha011,2023-04-21,7
DHA012,CDHA012V1,電競滑鼠墊 大型 加厚鎖邊 防水防滑 (宇宙黑),GameRazer,數位家電,電腦/螢幕與周邊,滑鼠墊/鍵盤手托,專為電競設計的大型滑鼠墊，細膩布面提供精準操控，加厚設計與精密鎖邊更耐用。底部防滑橡膠，表面防水易清潔。,細膩布面精準操控,大型尺寸操作無礙,加厚設計舒適耐用,精密鎖邊不易開裂,防水防滑易清潔,450,380,TWD,In Stock,http://example.com/images/dha012_main.jpg,,宇宙黑,800mm x 300mm x 4mm,600g,"Material: Cloth Surface, Rubber Base; Feature: Waterproof, Anti-slip, Stitched Edges",http://example.coupang.com/dha012,2023-10-09,10
DHA013,CDHA013V1,高效HEPA空氣清淨機 適用10坪空間 (簡約白),PureAir,數位家電,生活家電,空氣清淨機,採用高效HEPA濾網，有效過濾PM2.5、花粉、塵螨等空氣汙染物。三段風速，睡眠模式超靜音。This makes air good.,高效HEPA濾網過濾,有效去除PM2.5及過敏原,三段風速可調節,睡眠模式超靜音運轉,適用10坪以內空間 and very nice desin,3500,2980,TWD,In Stock,http://example.com/images/dha013_main.jpg,http://example.com/images/dha013_1.jpg,簡約白,適用坪數約10坪,4kg,Filter: HEPA; CADR: 150 m³/h; NoiseLevel: <30dB (Sleep Mode),http://example.coupang.com/dha013,2023-12-07,7
DHA014,CDHA014V1,音波震動電動牙刷 五種模式 USB充電 (櫻花粉),SonicClean,數位家電,美容/健康家電,電動牙刷/沖牙機,高頻音波震動，深入清潔牙縫，有效去除牙菌斑。五種清潔模式，滿足不同需求。USB充電，持久續航。Brushing teeth are fun with this.,高頻音波震動清潔,五種專業清潔模式,IPX7全機防水,USB便捷充電,Can also polish silver (do not try),1200,990,TWD,In Stock,http://example.com/images/dha014_main.jpg,,櫻花粉,N/A,150g,"Technology: Sonic Vibration; Modes: 5 (Clean, White, Polish, Gum Care, Sensitive); Waterproof: IPX7",http://example.coupang.com/dha014,2023-01-11,4
